# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
kal-inspiron;300;2019-09-29 23:05:01 UTC;1083960;6532392;4543412;37.90;851332;4632260;10663456;75.70;6352112;3160740;884
kal-inspiron;600;2019-09-29 23:15:01 UTC;1158596;6607524;4468304;37.27;851796;4632272;10605800;75.29;6275672;3160744;236
kal-inspiron;600;2019-09-29 23:25:01 UTC;1146896;6596468;4479440;37.36;852272;4632396;10614844;75.36;6286192;3160880;16
kal-inspiron;600;2019-09-29 23:35:01 UTC;1136120;6586180;4489704;37.45;852716;4632404;10622048;75.41;6297476;3160888;592
kal-inspiron;600;2019-09-29 23:45:01 UTC;1129536;6580112;4495800;37.50;853164;4632532;10622700;75.41;6303232;3161020;48
kal-inspiron;600;2019-09-29 23:55:01 UTC;1120948;6572004;4503848;37.57;853608;4632548;10636088;75.51;6312192;3161024;280
kal-inspiron;600;2019-09-30 00:05:01 UTC;1112812;6564212;4511588;37.63;853944;4632528;10622884;75.41;6321604;3161004;652
kal-inspiron;600;2019-09-30 00:15:01 UTC;1086980;6539028;4536824;37.84;854424;4632540;10628548;75.45;6348536;3161016;344
kal-inspiron;599;2019-09-30 00:25:01 UTC;1102952;6555360;4520392;37.70;854760;4632552;10648260;75.59;6330056;3161020;36
kal-inspiron;600;2019-09-30 00:35:01 UTC;1093872;6546680;4528980;37.78;855108;4632556;10627440;75.45;6339096;3161024;44
kal-inspiron;600;2019-09-30 00:45:01 UTC;1092432;6545512;4530152;37.79;855472;4632568;10640464;75.54;6341432;3161036;88
kal-inspiron;600;2019-09-30 00:55:01 UTC;1084316;6537756;4538048;37.85;855808;4632572;10646640;75.58;6351740;3161040;600
kal-inspiron;600;2019-09-30 01:05:01 UTC;1072352;6526196;4549420;37.95;856200;4632576;10638060;75.52;6362640;3161044;628
kal-inspiron;600;2019-09-30 01:15:01 UTC;1058620;6513072;4562852;38.06;856712;4632580;10649696;75.60;6377064;3161048;56
kal-inspiron;600;2019-09-30 01:25:01 UTC;1049080;6504012;4572136;38.14;857024;4632716;10644652;75.57;6385352;3161184;12
kal-inspiron;600;2019-09-30 01:35:01 UTC;1037976;6493312;4583156;38.23;857416;4632724;10640340;75.54;6397288;3161192;376
kal-inspiron;600;2019-09-30 01:45:01 UTC;1037728;6493500;4582444;38.22;857812;4632728;10646704;75.58;6397084;3161204;60
kal-inspiron;600;2019-09-30 01:55:01 UTC;1130264;6586468;4489220;37.44;858212;4632740;10614552;75.35;6302104;3161208;68
kal-inspiron;600;2019-09-30 02:05:01 UTC;1108744;6565380;4510236;37.62;858640;4632748;10624040;75.42;6323284;3161216;48
kal-inspiron;600;2019-09-30 02:15:01 UTC;1070776;6527900;4548212;37.94;859060;4632752;10640976;75.54;6358396;3161220;44
kal-inspiron;600;2019-09-30 02:25:01 UTC;1065504;6523052;4552988;37.98;859472;4632756;10644600;75.57;6362344;3161224;64
kal-inspiron;600;2019-09-30 02:35:01 UTC;1050916;6508884;4566936;38.09;859896;4632764;10657464;75.66;6374864;3161236;12
kal-inspiron;600;2019-09-30 02:45:01 UTC;1047816;6506208;4569480;38.11;860312;4632776;10649672;75.60;6381748;3161244;96
kal-inspiron;600;2019-09-30 02:55:01 UTC;1034792;6493684;4582180;38.22;860796;4632780;10638384;75.52;6393780;3161248;68
kal-inspiron;600;2019-09-30 03:05:01 UTC;1029072;6488600;4587616;38.26;861296;4632912;10653960;75.63;6400708;3161380;64
kal-inspiron;600;2019-09-30 03:15:01 UTC;1007400;6467420;4608952;38.44;861724;4632920;10657968;75.66;6421548;3161388;72
kal-inspiron;600;2019-09-30 03:25:01 UTC;996508;6456960;4619104;38.53;862088;4632924;10649644;75.60;6432852;3161392;284
kal-inspiron;600;2019-09-30 03:35:01 UTC;982836;6443664;4632464;38.64;862428;4632924;10659928;75.68;6445572;3161392;16
kal-inspiron;600;2019-09-30 03:45:01 UTC;978636;6439948;4636176;38.67;862808;4632932;10664500;75.71;6447804;3161400;488
kal-inspiron;600;2019-09-30 03:55:01 UTC;968160;6429756;4646152;38.75;863088;4632940;10652064;75.62;6460080;3161412;96
kal-inspiron;600;2019-09-30 04:05:01 UTC;1047232;6509172;4567144;38.09;863428;4632936;10635304;75.50;6377708;3161420;272
kal-inspiron;600;2019-09-30 04:15:01 UTC;1007768;6470236;4606780;38.42;863936;4632936;10654532;75.64;6420592;3161404;136
kal-inspiron;600;2019-09-30 04:25:01 UTC;999780;6462620;4614400;38.49;864276;4632956;10652252;75.62;6429768;3161412;316
kal-inspiron;600;2019-09-30 04:35:01 UTC;983860;6447212;4629664;38.62;864648;4633088;10667736;75.73;6444892;3161544;56
kal-inspiron;600;2019-09-30 04:45:01 UTC;968736;6432460;4644124;38.74;865008;4633096;10655188;75.64;6459000;3161552;84
kal-inspiron;599;2019-09-30 04:55:01 UTC;951028;6420252;4655304;38.83;865440;4637844;10695404;75.93;6472312;3161524;32
kal-inspiron;600;2019-09-30 05:05:01 UTC;943652;6413100;4663204;38.90;865888;4637856;10663544;75.70;6481168;3161428;224
kal-inspiron;600;2019-09-30 05:15:01 UTC;932600;6402588;4673856;38.98;866344;4637864;10667416;75.73;6491372;3161440;268
kal-inspiron;600;2019-09-30 05:25:01 UTC;1030756;6501168;4575456;38.16;866748;4637868;10635096;75.50;6394708;3161400;772
kal-inspiron;600;2019-09-30 05:35:01 UTC;1101644;6466808;4608364;38.44;867412;4534524;10695968;75.93;6373564;3111504;204
kal-inspiron;600;2019-09-30 05:45:01 UTC;970988;6449552;4625076;38.58;867788;4644716;10707440;76.01;6389948;3221536;308
kal-inspiron;600;2019-09-30 05:55:01 UTC;962892;6441988;4632724;38.64;868176;4644844;10714476;76.06;6397184;3221672;208
kal-inspiron;600;2019-09-30 06:05:01 UTC;989748;6469236;4605664;38.42;868552;4644852;10712412;76.05;6426192;3166632;464
kal-inspiron;600;2019-09-30 06:15:01 UTC;974012;6453988;4620408;38.54;869012;4644860;10711060;76.04;6442388;3166636;700
kal-inspiron;600;2019-09-30 06:25:01 UTC;965036;6445304;4629160;38.61;869416;4644848;10714836;76.07;6451700;3166644;200
kal-inspiron;600;2019-09-30 06:35:01 UTC;952992;6433712;4641164;38.71;869820;4644876;10708568;76.02;6463416;3166652;536
kal-inspiron;600;2019-09-30 06:45:01 UTC;936152;6425588;4649304;38.78;870340;4652684;10728380;76.16;6485440;3160980;816
kal-inspiron;600;2019-09-30 06:55:01 UTC;929732;6419580;4655472;38.83;870736;4652692;10718016;76.09;6491872;3160988;204
kal-inspiron;600;2019-09-30 07:05:01 UTC;916948;6407264;4667560;38.93;871128;4652696;10712464;76.05;6501972;3160996;876
kal-inspiron;600;2019-09-30 07:15:01 UTC;908464;6399428;4675552;39.00;871576;4652836;10723204;76.13;6513844;3161132;804
kal-inspiron;600;2019-09-30 07:25:01 UTC;895804;6387180;4687840;39.10;871964;4652836;10728432;76.16;6525388;3161140;460
kal-inspiron;600;2019-09-30 07:35:01 UTC;976376;6468060;4607048;38.43;872360;4652840;10655484;75.64;6453116;3160756;512
kal-inspiron;600;2019-09-30 07:45:01 UTC;971944;6464032;4611048;38.46;872732;4652852;10672392;75.76;6457604;3160764;556
kal-inspiron;600;2019-09-30 07:55:01 UTC;962972;6455404;4619812;38.53;873080;4652848;10663636;75.70;6465984;3160768;520
kal-inspiron;600;2019-09-30 08:05:01 UTC;951176;6444024;4630820;38.63;873428;4652856;10674508;75.78;6478712;3160776;204
kal-inspiron;600;2019-09-30 08:15:01 UTC;931248;6424704;4650292;38.79;873868;4652880;10662552;75.69;6499044;3160792;284
